"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       314	     2,512	       946	     0,000	 65535,000	   -25,846	   -25,846
       315	     2,520	       994	     0,000	 65535,000	    22,154	    22,154
       316	     2,528	       994	     0,000	 65535,000	    22,154	    22,154
       317	     2,536	       946	     0,000	 65535,000	   -25,846	   -25,846
       318	     2,544	       978	     0,000	 65535,000	     6,154	     6,154
       319	     2,552	       978	     0,000	 65535,000	     6,154	     6,154
       320	     2,560	       994	     0,000	 65535,000	    22,154	    22,154
       321	     2,568	       946	     0,000	 65535,000	   -25,846	   -25,846
       322	     2,576	      1010	     0,000	 65535,000	    38,154	    38,154
       323	     2,584	       994	     0,000	 65535,000	    22,154	    22,154
       324	     2,592	      1026	     0,000	 65535,000	    54,154	    54,154
       325	     2,600	       978	     0,000	 65535,000	     6,154	     6,154
       326	     2,608	      1010	     0,000	 65535,000	    38,154	    38,154
       327	     2,616	      1026	     0,000	 65535,000	    54,154	    54,154
       328	     2,624	       962	     0,000	 65535,000	    -9,846	    -9,846
       329	     2,632	       978	     0,000	 65535,000	     6,154	     6,154
       330	     2,640	       978	     0,000	 65535,000	     6,154	     6,154
       331	     2,648	       978	     0,000	 65535,000	     6,154	     6,154
       332	     2,656	       994	     0,000	 65535,000	    22,154	    22,154
       333	     2,664	       962	     0,000	 65535,000	    -9,846	    -9,846
       334	     2,672	       930	     0,000	 65535,000	   -41,846	   -41,846
       335	     2,680	       962	     0,000	 65535,000	    -9,846	    -9,846
       336	     2,688	       978	     0,000	 65535,000	     6,154	     6,154
       337	     2,696	       978	     0,000	 65535,000	     6,154	     6,154
       338	     2,704	      1026	     0,000	 65535,000	    54,154	    54,154
       339	     2,712	       962	     0,000	 65535,000	    -9,846	    -9,846
       340	     2,720	       962	     0,000	 65535,000	    -9,846	    -9,846
       341	     2,728	       978	     0,000	 65535,000	     6,154	     6,154
       342	     2,736	       946	     0,000	 65535,000	   -25,846	   -25,846
       343	     2,744	       978	     0,000	 65535,000	     6,154	     6,154
       344	     2,752	       994	     0,000	 65535,000	    22,154	    22,154
       345	     2,760	       962	     0,000	 65535,000	    -9,846	    -9,846
       346	     2,768	       946	     0,000	 65535,000	   -25,846	   -25,846
       347	     2,776	      1010	     0,000	 65535,000	    38,154	    38,154
       348	     2,784	      1010	     0,000	 65535,000	    38,154	    38,154
       349	     2,792	       994	     0,000	 65535,000	    22,154	    22,154
       350	     2,800	       978	     0,000	 65535,000	     6,154	     6,154
       351	     2,808	      1010	     0,000	 65535,000	    38,154	    38,154
       352	     2,816	       994	     0,000	 65535,000	    22,154	    22,154
       353	     2,824	       962	     0,000	 65535,000	    -9,846	    -9,846
       354	     2,832	       978	     0,000	 65535,000	     6,154	     6,154
       355	     2,840	      1010	     0,000	 65535,000	    38,154	    38,154
       356	     2,848	      1026	     0,000	 65535,000	    54,154	    54,154
       357	     2,856	       978	     0,000	 65535,000	     6,154	     6,154
       358	     2,864	       962	     0,000	 65535,000	    -9,846	    -9,846
       359	     2,872	       946	     0,000	 65535,000	   -25,846	   -25,846
       360	     2,880	       962	     0,000	 65535,000	    -9,846	    -9,846
       361	     2,888	       962	     0,000	 65535,000	    -9,846	    -9,846
       362	     2,896	       946	     0,000	 65535,000	   -25,846	   -25,846
       363	     2,904	       994	     0,000	 65535,000	    22,154	    22,154
       364	     2,912	       994	     0,000	 65535,000	    22,154	    22,154
       365	     2,920	       994	     0,000	 65535,000	    22,154	    22,154
       366	     2,928	       930	     0,000	 65535,000	   -41,846	   -41,846
       367	     2,936	       962	     0,000	 65535,000	    -9,846	    -9,846
       368	     2,944	       930	     0,000	 65535,000	   -41,846	   -41,846
       369	     2,952	       930	     0,000	 65535,000	   -41,846	   -41,846
       370	     2,960	       946	     0,000	 65535,000	   -25,846	   -25,846
       371	     2,968	       978	     0,000	 65535,000	     6,154	     6,154
       372	     2,976	       978	     0,000	 65535,000	     6,154	     6,154
